Time,Time Code,Country Name,Country Code,Adequacy of social insurance programs (% of total welfare of beneficiary households) [per_si_allsi.adq_pop_tot],Adjusted net national income per capita (constant 2015 US$) [NY.ADJ.NNTY.PC.KD],"Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Coverage of social insurance programs (% of population) [per_si_allsi.cov_pop_tot],CPIA gender equality rating (1=low to 6=high) [IQ.CPA.GNDR.XQ],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Literacy rate, youth (ages 15-24), gender parity index (GPI) [SE.ADT.1524.LT.FM.ZS]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","School enrollment, tertiary (gross), gender parity index (GPI) [SE.ENR.TERT.FM.ZS]"
1990,YR1990,Argentina,ARG,..,6127.76818350827,..,..,..,3.034,14136.5254005803,..,71.784,..,28.8,0.1,..,..
1990,YR1990,Australia,AUS,..,..,..,..,..,1.902,30897.9651381514,..,76.9946341463415,..,9.2,0.1,..,1.13207995891571
1990,YR1990,Brazil,BRA,..,4186.40409016524,..,..,..,2.905,10401.8424448513,2.3,65.985,..,63.2,0.2,..,1.09561002254486
1990,YR1990,China,CHN,..,..,..,..,..,2.514,1423.89634791435,8.3,68.005,0.943059980869293,53.6,..,0.848609983921051,..
1990,YR1990,France,FRA,..,24364.367871146,..,..,..,1.77,33843.0203949502,7.9,76.6,..,9,0.1,1.02837002277374,1.1241899728775
1990,YR1990,Germany,DEU,..,25004.4689110848,..,..,..,1.45,36699.4817033163,..,75.0856341463415,..,8.5,..,..,..
1990,YR1990,India,IND,..,454.956045954919,..,..,..,4.045,1819.02159646295,..,58.652,..,126.5,0.1,..,0.51868999004364
1990,YR1990,Indonesia,IDN,..,3295.41999140186,..,..,..,3.098,4519.72279421074,8.8,63.181,0.976050019264221,84,0.1,0.930589973926544,..
1990,YR1990,Italy,ITA,..,23589.1662282386,..,..,..,1.33,36585.6799028741,..,76.9707317073171,..,9.7,0.2,1.00330996513367,0.95932000875473
1990,YR1990,Japan,JPN,..,23891.1026789675,57.9,..,..,1.54,32846.3899195426,..,78.8370731707317,..,6.3,..,1.01502001285553,0.654969990253448
1990,YR1990,"Korea, Rep.",KOR,..,9338.58197107273,..,..,..,1.57,12656.3956415545,..,71.5975609756098,..,15.6,..,0.983640015125275,0.482560008764267
1990,YR1990,Mexico,MEX,..,6279.50677506105,..,..,..,3.45,16370.8687585589,..,69.971,0.98895001411438,45.4,0.1,0.962310016155243,..
1990,YR1990,Netherlands,NLD,..,25155.1195254893,..,..,..,1.62,36461.4190196424,8.3,76.8780487804878,..,8.3,0.1,0.969990015029907,0.818690001964569
1990,YR1990,Russian Federation,RUS,..,..,..,..,..,1.892,21482.75,..,68.8860975609756,..,21.6,..,..,..
1990,YR1990,Saudi Arabia,SAU,..,..,..,..,..,5.83,42163.801724703,..,68.948,..,44.3,..,..,..
1990,YR1990,Spain,ESP,..,15965.0767914682,..,..,..,1.36,27543.221532287,7.7,76.8375609756098,..,9.2,0.3,1.02982997894287,1.07087004184723
1990,YR1990,Switzerland,CHE,..,..,..,..,..,1.58,56232.0260800298,..,77.2424390243902,..,8.2,0.3,0.965449988842011,0.526920020580292
1990,YR1990,Turkiye,TUR,..,..,..,..,..,3.126,12535.9196393844,..,67.709,0.915239989757538,74.2,..,0.782260000705719,0.532149970531464
1990,YR1990,United Kingdom,GBR,..,23162.6766606212,..,..,..,1.83,30657.8394269888,7.1,75.8804878048781,..,9.3,..,1.01897001266479,0.934480011463165
1990,YR1990,United States,USA,..,32417.2063972894,70.7,..,..,2.081,40451.498404837,5.6,75.2146341463415,..,11.2,..,0.997739970684052,1.19342005252838
1990,YR1990,Afghanistan,AFG,..,..,..,..,..,7.565,..,..,45.967,..,178.5,0.1,..,0.442570000886917
1990,YR1990,Albania,ALB,..,..,..,..,..,2.9,4827.01808967191,..,73.144,..,40.8,0.1,0.946529984474182,1.09407997131348
1990,YR1990,Algeria,DZA,..,2011.38927470293,..,..,..,4.556,8828.87447349486,..,67.416,..,51.9,0.1,0.817080020904541,..
1990,YR1990,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,0.999109983444214,..
1990,YR1990,Andorra,AND,..,..,..,..,..,..,..,..,..,..,13.1,..,..,..
1990,YR1990,Angola,AGO,..,..,..,..,..,7.272,5793.08451204045,..,41.893,..,223.5,0.2,..,0.191269993782043
1990,YR1990,Antigua and Barbuda,ATG,..,..,..,..,..,2.249,17016.8647630669,..,73.492,..,14.1,..,..,..
1990,YR1990,Armenia,ARM,..,..,..,..,..,2.713,5153.29821050756,..,68.821,..,48.9,..,..,..
1990,YR1990,Aruba,ABW,..,..,..,..,..,2.303,32278.8685393189,..,73.076,..,..,..,..,..
1990,YR1990,Austria,AUT,..,27517.0923033083,..,..,..,1.46,37494.5604129864,..,75.5682926829269,..,9.5,..,0.940590023994446,0.879620015621185
1990,YR1990,Azerbaijan,AZE,..,..,..,..,..,2.74,7616.91027506113,..,62.352,..,95.3,0.1,..,..
1990,YR1990,"Bahamas, The",BHS,..,23853.6629396996,..,..,..,2.527,36161.1101272085,..,70.133,..,23.5,1.5,..,..
1990,YR1990,Bahrain,BHR,..,..,..,..,..,3.758,36997.7356016117,..,72.668,..,23,0.1,1.02781999111176,..
1990,YR1990,Bangladesh,BGD,..,554.620319911831,..,..,..,4.479,1730.36894123549,..,55.989,..,146,0.1,0.753639996051788,0.194879993796349
1990,YR1990,Barbados,BRB,..,..,..,..,..,1.74,14086.431087319,..,72.752,..,18.1,0.2,0.951020002365112,1.34238994121552
1990,YR1990,Belarus,BLR,..,..,..,..,..,1.913,8895.17217109963,..,70.8365853658537,..,15.2,0.1,..,..
1990,YR1990,Belgium,BEL,..,26113.9738436323,..,..,..,1.62,35506.9265146541,..,76.0519512195122,..,10,..,1.01689004898071,0.961059987545013
