"Country Name","Country Code","DFE"
"Afghanistan","AFG",1.059290169
"Angola","AGO",1.011764676
"Albania","ALB",5.269576993
"Argentina","ARG",0.167189951
"Armenia","ARM",0.478231101
"American Samoa","ASM",0.000261755
"Australia","AUS",3.047098606
"Austria","AUT",0.038152978
"Azerbaijan","AZE",1.105565067
"Burundi","BDI",2.377411289
"Belgium","BEL",0.001692168
"Benin","BEN",0.858274799
"Burkina Faso","BFA",1.250036827
"Bangladesh","BGD",4.584694259
"Bulgaria","BGR",0.00855316
"Bosnia and Herzegovina","BIH",0.493228499
"Belarus","BLR",0.021958552
"Belize","BLZ",0.806085589
"Bolivia","BOL",1.297429164
"Brazil","BRA",0.482451028
"Bhutan","BTN",0.013501103
"Botswana","BWA",0.740418784
"Central African Republic","CAF",0.182498508
"Canada","CAN",0.010743238
"Switzerland","CHE",0.003887884
"Chile","CHL",0.260470805
"China","CHN",7.950971475
"Cote d'Ivoire","CIV",0.000757404
"Cameroon","CMR",0.072372205
"Congo, Dem. Rep.","COD",0.017890962
"Congo, Rep.","COG",0.262896437
"Colombia","COL",0.657133754
"Comoros","COM",0.022191159
"Cabo Verde","CPV",0.009841224
"Costa Rica","CRI",0.701045626
"Cuba","CUB",0.727438086
"Cyprus","CYP",0.002678155
"Czechia","CZE",0.155745988
"Germany","DEU",0.032824574
"Djibouti","DJI",6.796847046
"Denmark","DNK",0
"Dominican Republic","DOM",0.078705435
"Algeria","DZA",0.03922294
"Ecuador","ECU",0.336468818
"Egypt, Arab Rep.","EGY",0.012213477
"Eritrea","ERI",7.323482856
"Spain","ESP",0.729193518
"Estonia","EST",0
"Ethiopia","ETH",3.263018169
"Finland","FIN",0.000387043
"Fiji","FJI",1.728636619
"France","FRA",0.005717646
"Micronesia, Fed. Sts.","FSM",1.349813557
"United Kingdom","GBR",0.032407019
"Georgia","GEO",0.770433849
"Ghana","GHA",0.974438237
"Guinea","GIN",0.180212227
"Gambia, The","GMB",0.197190027
"Guinea-Bissau","GNB",0.540905804
"Greece","GRC",0.006583139
"Guatemala","GTM",1.306823663
"Guyana","GUY",7.170624212
"Hong Kong SAR, China","HKG",0.004354373
"Honduras","HND",1.255291226
"Croatia","HRV",0.002494289
"Haiti","HTI",0.840315026
"Hungary","HUN",0.088105351
"Indonesia","IDN",0.160589722
"India","IND",4.356108992
"Ireland","IRL",0.004907369
"Iran, Islamic Rep.","IRN",3.056791917
"Iraq","IRQ",0.014837959
"Israel","ISR",0.000810925
"Italy","ITA",0.007102219
"Jamaica","JAM",1.143460776
