"time","country","country_code","perc_tot_welfare","net_income_pc","contrac_prev","cov_social_insur","cpia_gender_rating","fertility_rate","gdp_pc_ppp","income_share_low20","life_exp_birth","literacy_rate","mortality_rate","hiv_prev","school_enrol_pri_sec","school_enrol_tert"
1990,"Argentina","ARG",NA,6127.76818350827,NA,NA,NA,3.034,14136.5254005803,NA,71.784,NA,28.8,0.1,NA,NA
1990,"Australia","AUS",NA,NA,NA,NA,NA,1.902,30897.9651381514,NA,76.9946341463415,NA,9.2,0.1,NA,1.13207995891571
1990,"Brazil","BRA",NA,4186.40409016524,NA,NA,NA,2.905,10401.8424448513,2.3,65.985,NA,63.2,0.2,NA,1.09561002254486
1990,"China","CHN",NA,NA,NA,NA,NA,2.514,1423.89634791435,8.3,68.005,0.943059980869293,53.6,NA,0.848609983921051,NA
1990,"France","FRA",NA,24364.367871146,NA,NA,NA,1.77,33843.0203949502,7.9,76.6,NA,9,0.1,1.02837002277374,1.1241899728775
1990,"Germany","DEU",NA,25004.4689110848,NA,NA,NA,1.45,36699.4817033163,NA,75.0856341463415,NA,8.5,NA,NA,NA
1990,"India","IND",NA,454.956045954919,NA,NA,NA,4.045,1819.02159646295,NA,58.652,NA,126.5,0.1,NA,0.51868999004364
1990,"Indonesia","IDN",NA,3295.41999140186,NA,NA,NA,3.098,4519.72279421074,8.8,63.181,0.976050019264221,84,0.1,0.930589973926544,NA
1990,"Italy","ITA",NA,23589.1662282386,NA,NA,NA,1.33,36585.6799028741,NA,76.9707317073171,NA,9.7,0.2,1.00330996513367,0.95932000875473
1990,"Japan","JPN",NA,23891.1026789675,57.9,NA,NA,1.54,32846.3899195426,NA,78.8370731707317,NA,6.3,NA,1.01502001285553,0.654969990253448
1990,"Korea, Rep.","KOR",NA,9338.58197107273,NA,NA,NA,1.57,12656.3956415545,NA,71.5975609756098,NA,15.6,NA,0.983640015125275,0.482560008764267
1990,"Mexico","MEX",NA,6279.50677506105,NA,NA,NA,3.45,16370.8687585589,NA,69.971,0.98895001411438,45.4,0.1,0.962310016155243,NA
1990,"Netherlands","NLD",NA,25155.1195254893,NA,NA,NA,1.62,36461.4190196424,8.3,76.8780487804878,NA,8.3,0.1,0.969990015029907,0.818690001964569
1990,"Russian Federation","RUS",NA,NA,NA,NA,NA,1.892,21482.75,NA,68.8860975609756,NA,21.6,NA,NA,NA
1990,"Saudi Arabia","SAU",NA,NA,NA,NA,NA,5.83,42163.801724703,NA,68.948,NA,44.3,NA,NA,NA
1990,"Spain","ESP",NA,15965.0767914682,NA,NA,NA,1.36,27543.221532287,7.7,76.8375609756098,NA,9.2,0.3,1.02982997894287,1.07087004184723
1990,"Switzerland","CHE",NA,NA,NA,NA,NA,1.58,56232.0260800298,NA,77.2424390243902,NA,8.2,0.3,0.965449988842011,0.526920020580292
1990,"Turkiye","TUR",NA,NA,NA,NA,NA,3.126,12535.9196393844,NA,67.709,0.915239989757538,74.2,NA,0.782260000705719,0.532149970531464
1990,"United Kingdom","GBR",NA,23162.6766606212,NA,NA,NA,1.83,30657.8394269888,7.1,75.8804878048781,NA,9.3,NA,1.01897001266479,0.934480011463165
1990,"United States","USA",NA,32417.2063972894,70.7,NA,NA,2.081,40451.498404837,5.6,75.2146341463415,NA,11.2,NA,0.997739970684052,1.19342005252838
1990,"Afghanistan","AFG",NA,NA,NA,NA,NA,7.565,NA,NA,45.967,NA,178.5,0.1,NA,0.442570000886917
1990,"Albania","ALB",NA,NA,NA,NA,NA,2.9,4827.01808967191,NA,73.144,NA,40.8,0.1,0.946529984474182,1.09407997131348
